sample_name,files_id,files_value,assets_id,assets_value,params_id,params_value
rCRSd-fasta,fasta,http://big.databio.org/refgenie_raw/rCRSd.fa.gz,,,,
hg38-fasta,fasta,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/001/405/GCA_000001405.15_GRCh38/seqs_for_alignment_pipelines.ucsc_ids/GCA_000001405.15_GRCh38_no_alt_analysis_set.fna.gz,,,,
hg38_cdna-fasta,fasta,ftp://ftp.ensembl.org/pub/release-97/fasta/homo_sapiens/cdna/Homo_sapiens.GRCh38.cdna.all.fa.gz,,,,
hg19-fasta,fasta,http://hgdownload.cse.ucsc.edu/goldenPath/hg19/bigZips/hg19.fa.gz,,,,
hg19_cdna-fasta,fasta,ftp://ftp.ensembl.org/pub/release-75/fasta/homo_sapiens/cdna/Homo_sapiens.GRCh37.75.cdna.all.fa.gz,,,,
mm10-fasta,fasta,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/001/635/GCA_000001635.5_GRCm38.p3/seqs_for_alignment_pipelines.ucsc_ids/GCA_000001635.5_GRCm38.p3_no_alt_analysis_set.fna.gz,,,,
mm10_cdna-fasta,fasta,ftp://ftp.ensembl.org/pub/release-97/fasta/mus_musculus/cdna/Mus_musculus.GRCm38.cdna.all.fa.gz,,,,
rn6-fasta,fasta,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/001/895/GCA_000001895.4_Rnor_6.0/GCA_000001895.4_Rnor_6.0_genomic.fna.gz,,,,
rn6_cdna-fasta,fasta,ftp://ftp.ensembl.org/pub/release-97/fasta/rattus_norvegicus/cdna/Rattus_norvegicus.Rnor_6.0.cdna.all.fa.gz,,,,
hg19-salmon_sa_index,,,genomefa,hg19/fasta,,
hg19-salmon_sa_index,,,txomefa,hg19_cdna/fasta,,
mm10-salmon_sa_index,,,genomefa,mm10/fasta,,
mm10-salmon_sa_index,,,txomefa,mm10_cdna/fasta,,
rn6-salmon_sa_index,,,genomefa,rn6/fasta,,
rn6-salmon_sa_index,,,txomefa,rn6_cdna/fasta,,
hg38-salmon_sa_index,,,genomefa,hg38/fasta,,
hg38-salmon_sa_index,,,txomefa,hg38_cdna/fasta,,
hg38-ensembl_gtf,ensembl_gtf,ftp://ftp.ensembl.org/pub/release-97/gtf/homo_sapiens/Homo_sapiens.GRCh38.97.gtf.gz,,,,
hg19-ensembl_gtf,ensembl_gtf,ftp://ftp.ensembl.org/pub/grch37/current/gtf/homo_sapiens/Homo_sapiens.GRCh37.87.gtf.gz,,,,
mm10-ensembl_gtf,ensembl_gtf,ftp://ftp.ensembl.org/pub/release-97/gtf/mus_musculus/Mus_musculus.GRCm38.97.gtf.gz,,,,
rn6-ensembl_gtf,ensembl_gtf,ftp://ftp.ensembl.org/pub/release-97/gtf/rattus_norvegicus/Rattus_norvegicus.Rnor_6.0.97.gtf.gz,,,,
hg19-gencode_gtf,gencode_gtf,ftp://ftp.ebi.ac.uk/pub/databases/gencode/Gencode_human/release_32/GRCh37_mapping/gencode.v32lift37.annotation.gtf.gz,,,,
hg38-gencode_gtf,gencode_gtf,ftp://ftp.ebi.ac.uk/pub/databases/gencode/Gencode_human/release_29/gencode.v29.primary_assembly.annotation.gtf.gz,,,,
mm10-gencode_gtf,gencode_gtf,ftp://ftp.ebi.ac.uk/pub/databases/gencode/Gencode_mouse/release_M22/gencode.vM22.annotation.gtf.gz,,,,
hg38-ensembl_rb,ensembl_rb,ftp://ftp.ensembl.org/pub/release-97/regulation/homo_sapiens/homo_sapiens.GRCh38.Regulatory_Build.regulatory_features.20190329.gff.gz,,,,
hg19-ensembl_rb,ensembl_rb,ftp://ftp.ensembl.org/pub/grch37/current/regulation/homo_sapiens/homo_sapiens.GRCh37.Regulatory_Build.regulatory_features.20180925.gff.gz,,,,
mm10-ensembl_rb,ensembl_rb,ftp://ftp.ensembl.org/pub/release-97/regulation/mus_musculus/mus_musculus.GRCm38.Regulatory_Build.regulatory_features.20180516.gff.gz,,,,
hg38-refgene_anno,refgene,http://hgdownload.cse.ucsc.edu/goldenpath/hg38/database/refGene.txt.gz,,,,
hg19-refgene_anno,refgene,http://hgdownload.cse.ucsc.edu/goldenpath/hg19/database/refGene.txt.gz,,,,
mm10-refgene_anno,refgene,http://hgdownload.cse.ucsc.edu/goldenpath/mm10/database/refGene.txt.gz,,,,
rn6-refgene_anno,refgene,http://hgdownload.cse.ucsc.edu/goldenpath/rn6/database/refGene.txt.gz,,,,
hg38-dbnsfp,dbnsfp,ftp://dbnsfp:dbnsfp@dbnsfp.softgenetics.com/dbNSFP4.0c.zip,,,,
hg38-dbsnp,dbsnp_vcf,ftp://ftp.ncbi.nih.gov/snp/organisms/human_9606/VCF/common_all_20180418.vcf.gz,,,,
hg38-dbsnp,dbsnp_tbi,ftp://ftp.ncbi.nih.gov/snp/organisms/human_9606/VCF/common_all_20180418.vcf.gz.tbi,,,,
hg19-dbsnp,dbsnp_vcf,ftp://ftp.ncbi.nih.gov/snp/organisms/human_9606_b151_GRCh37p13/VCF/common_all_20180423.vcf.gz,,,,
hg19-dbsnp,dbsnp_tbi,ftp://ftp.ncbi.nih.gov/snp/organisms/human_9606_b151_GRCh37p13/VCF/common_all_20180423.vcf.gz.tbi,,,,
hg19-salmon_partial_sa_index,,,genomefa,hg19/fasta,,
hg19-salmon_partial_sa_index,,,txomefa,hg19_cdna/fasta,,
hg19-salmon_partial_sa_index,,,gtf,hg19/gencode_gtf,,
mm10-salmon_partial_sa_index,,,genomefa,mm10/fasta,,
mm10-salmon_partial_sa_index,,,txomefa,mm10_cdna/fasta,,
mm10-salmon_partial_sa_index,,,gtf,mm10/gencode_gtf,,
rn6-salmon_partial_sa_index,,,genomefa,rn6/fasta,,
rn6-salmon_partial_sa_index,,,txomefa,rn6_cdna/fasta,,
rn6-salmon_partial_sa_index,,,gtf,rn6/gencode_gtf,,
hg38-salmon_partial_sa_index,,,genomefa,hg38/fasta,,
hg38-salmon_partial_sa_index,,,txomefa,hg38_cdna/fasta,,
hg38-salmon_partial_sa_index,,,gtf,hg38/gencode_gtf,,
