sample_name,genome,tag,fasta,gencode_gtf,ensembl_gtf,ensembl_rb,dbnsfp,refgene
hg38,hg38,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/001/405/GCA_000001405.15_GRCh38/seqs_for_alignment_pipelines.ucsc_ids/GCA_000001405.15_GRCh38_no_alt_analysis_set.fna.gz,ftp://ftp.ebi.ac.uk/pub/databases/gencode/Gencode_human/release_29/gencode.v29.primary_assembly.annotation.gtf.gz,ftp://ftp.ensembl.org/pub/release-97/gtf/homo_sapiens/Homo_sapiens.GRCh38.97.gtf.gz,ftp://ftp.ensembl.org/pub/release-97/regulation/homo_sapiens/homo_sapiens.GRCh38.Regulatory_Build.regulatory_features.20190329.gff.gz,ftp://dbnsfp:dbnsfp@dbnsfp.softgenetics.com/dbNSFP4.0c.zip,http://hgdownload.cse.ucsc.edu/goldenpath/hg38/database/refGene.txt.gz
hg19,hg19,,http://hgdownload.cse.ucsc.edu/goldenPath/hg19/bigZips/hg19.fa.gz,ftp://ftp.ebi.ac.uk/pub/databases/gencode/Gencode_human/release_32/GRCh37_mapping/gencode.v32lift37.annotation.gtf.gz,ftp://ftp.ensembl.org/pub/release-75/gtf/homo_sapiens/Homo_sapiens.GRCh37.75.gtf.gz,,,http://hgdownload.cse.ucsc.edu/goldenpath/hg19/database/refGene.txt.gz
mm10,mm10,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/001/635/GCA_000001635.5_GRCm38.p3/seqs_for_alignment_pipelines.ucsc_ids/GCA_000001635.5_GRCm38.p3_no_alt_analysis_set.fna.gz,ftp://ftp.ebi.ac.uk/pub/databases/gencode/Gencode_mouse/release_M22/gencode.vM22.annotation.gtf.gz,ftp://ftp.ensembl.org/pub/release-97/gtf/mus_musculus/Mus_musculus.GRCm38.97.gtf.gz,ftp://ftp.ensembl.org/pub/release-97/regulation/mus_musculus/mus_musculus.GRCm38.Regulatory_Build.regulatory_features.20180516.gff.gz,,http://hgdownload.cse.ucsc.edu/goldenpath/mm10/database/refGene.txt.gz
rn6,rn6,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/001/895/GCA_000001895.4_Rnor_6.0/GCA_000001895.4_Rnor_6.0_genomic.fna.gz,,ftp://ftp.ensembl.org/pub/release-97/gtf/rattus_norvegicus/Rattus_norvegicus.Rnor_6.0.97.gtf.gz,,,http://hgdownload.cse.ucsc.edu/goldenpath/rn6/database/refGene.txt.gz
hg38_chr22,hg38_chr22,,ftp://ftp.ncbi.nlm.nih.gov/genomes/H_sapiens/CHR_22/hs_ref_GRCh38.p12_chr22.fa.gz,,,,,
human_repeats,human_repeats,,,,,,,
human_alu,human_alu,,,,,,,
human_alphasat,human_alphasat,,,,,,,
human_rDNA,human_rDNA,,,,,,
mouse_chrM2x,mouse_chrM2x,,,,,,,
rCRSd,rCRSd,,/project/shefflab/genomes/rCRSd/rCRSd.fa.gz,,,,,
hs38d1,hs38d1,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/786/075/GCA_000786075.2_hs38d1/GCA_000786075.2_hs38d1_genomic.fna.gz,,,,,
hg38_noalt_decoy,hg38_noalt_decoy,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/001/405/GCA_000001405.15_GRCh38/seqs_for_alignment_pipelines.ucsc_ids/GCA_000001405.15_GRCh38_no_alt_plus_hs38d1_analysis_set.fna.bwa_index.tar.gz ,,,,,
hg38_cdna,hg38_cdna,,ftp://ftp.ensembl.org/pub/release-97/fasta/homo_sapiens/cdna/Homo_sapiens.GRCh38.cdna.all.fa.gz,,,,,
hg19_cdna,hg19_cdna,,ftp://ftp.ensembl.org/pub/release-75/fasta/homo_sapiens/cdna/Homo_sapiens.GRCh37.75.cdna.all.fa.gz,,,,,
mm10_cdna,mm10_cdna,,ftp://ftp.ensembl.org/pub/release-97/fasta/mus_musculus/cdna/Mus_musculus.GRCm38.cdna.all.fa.gz,,,,,
rn6_cdna,rn6_cdna,,ftp://ftp.ensembl.org/pub/release-97/fasta/rattus_norvegicus/cdna/Rattus_norvegicus.Rnor_6.0.cdna.all.fa.gz,,,,,
